Week,Team,Score
1,Scott,124.4
1,Barrett,67
1,David,81.97
1,Pfinn,67.3
1,German,104.63
1,Eric,81
1,Brian,97.63
1,Bobby,68.2
1,Diaz,61.53
1,Justin,97.8
2,Scott,109.17
2,Barrett,120.7
2,David,67.73
2,Pfinn,106.87
2,German,127.87
2,Eric,69.1
2,Brian,106.37
2,Bobby,104.4
2,Diaz,91.9
2,Justin,117.23
3,Barrett,88.57
3,German,125.03
3,Diaz,60.33
3,Bobby,135.5
3,Eric,109.6
3,Scott,115.67
3,Pfinn,97.63
3,Justin,103
3,David,120.93
3,Brian,115.3
4,Scott,133.93
4,Barrett,95.2
4,David,97.87
4,Pfinn,81.23
4,German,96.4
4,Eric,79.67
4,Brian,126.67
4,Bobby,112.13
4,Diaz,102.37
4,Justin,105.07
5,Scott,150.3
5,Barrett,101.33
5,David,122.27
5,Pfinn,81.6
5,German,73.8
5,Eric,88.7
5,Brian,128.2
5,Bobby,102.5
5,Diaz,117.53
5,Justin,92.4
6,Scott,109
6,Barrett,89.37
6,David,76.3
6,Pfinn,85.6
6,German,135.33
6,Eric,94.47
6,Brian,127.8
6,Bobby,91.17
6,Diaz,117.53
6,Justin,102.93
7,Barrett,113.6
7,German,105.77
7,Diaz,111.33
7,Bobby,174.6
7,Eric,78.47
7,Scott,109.4
7,Pfinn,76.03
7,Justin,107.7
7,David,74.3
7,Brian,121
8,Barrett,102.83
8,German,96.57
8,Diaz,130.33
8,Bobby,125.5
8,Eric,118.37
8,Scott,127.17
8,Pfinn,123.17
8,Justin,93.87
8,David,89.3
8,Brian,90.53
9,Barrett,77.8
9,German,134.07
9,Diaz,106.73
9,Bobby,77.93
9,Eric,91.5
9,Scott,93.77
9,Pfinn,120.5
9,Justin,110.83
9,David,95.87
9,Brian,90.57
10,Scott,113.4
10,Barrett,118.57
10,David,107.23
10,Pfinn,85.73
10,German,100.23
10,Eric,123.27
10,Brian,82.67
10,Bobby,89.17
10,Diaz,96.7
10,Justin,104
11,Scott,163.83
11,Barrett,52.83
11,David,69.2
11,Pfinn,118.6
11,German,93.83
11,Eric,142.4
11,Brian,88.27
11,Bobby,132.8
11,Diaz,118.8
11,Justin,96.77
12,Scott,67.27
12,Barrett,102.1
12,David,107
12,Pfinn,121.9
12,German,187.1
12,Eric,97.97
12,Brian,114.23
12,Bobby,137.17
12,Diaz,102.27
12,Justin,85.03
13,Scott,102.27
13,Barrett,94.3
13,David,87.93
13,Pfinn,108.17
13,German,131.87
13,Eric,106.67
13,Brian,106.07
13,Bobby,121
13,Diaz,118.3
13,Justin,96.67
14,Scott,119.8
14,Barrett,86.77
14,David,79.53
14,Pfinn,110.43
14,German,134.77
14,Eric,93.57
14,Brian,134.03
14,Bobby,93.37
14,Diaz,116.7
14,Justin,105.93
15,Scott,162.63
15,Barrett,118.97
15,David,63.6
15,Pfinn,97.23
15,German,158.57
15,Eric,100.27
15,Brian,104.9
15,Bobby,93.83
15,Diaz,126.57
15,Justin,91.97
